"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","IP","W","ERA","WHIP","K","SVH","GP"
"*05ylp*","Jared Koenig","MIL","RP","138","FA","","73.46","28%","-2%","62","4","3.34","1.177","60","26","65"
"*05138*","Matt Brash","SEA","RP","139","FA","","73.37","53%","-2%","52","3","3.46","1.173","68","28","59"
"*04ggi*","Andrew Kittredge","BAL","RP","140","FA","","73.18","31%","-4%","59","3","3.66","1.102","63","28","64"
"*041ps*","Nick Lodolo","CIN","SP","141","FA","","73.11","99%","0%","155","10","3.89","1.161","157","0","28"
"*041wv*","Michael King","SD","SP","143","FA","","72.7","99%","0%","148","10","3.77","1.223","160","0","28"
"*03i81*","Reynaldo Lopez","ATL","SP","147","FA","","72.48","79%","-1%","109","9","3.39","1.193","122","0","20"
"*04ali*","Edward Cabrera","CHC","SP","151","FA","","72.34","98%","0%","150","10","3.78","1.253","170","0","26"
"*01svz*","Kenley Jansen","DET","RP","154","FA","","72.17","92%","0%","58","3","3.72","1.172","58","34","60"
"*06491*","Orion Kerkering","PHI","RP","159","FA","","71.68","41%","-3%","61","4","3.25","1.197","67","22","68"
"*0425t*","Bailey Ober","MIN","SP","161","FA","","71.42","86%","-2%","165","10","4.04","1.158","160","0","30"
"*066er*","Grant Taylor","CHW","RP","162","FA","","71.28","72%","-3%","81","6","2.89","1.099","101","0","33"
"*04aea*","Hunter Greene","CIN","SP","166","FA","","70.9","98%","-2%","100","7","3.60","1.100","121","0","18"
"*05ycf*","Noah Cameron","KC","SP","167","FA","","70.82","95%","0%","172","11","3.82","1.262","152","0","30"
"*041vm*","Dylan Lee","ATL","RP","168","FA","","70.8","25%","-1%","65","3","3.74","1.108","77","23","67"
"*02c4q*","Nick Martinez","TB","SP,RP","169","FA","","70.73","57%","-3%","157","10","3.73","1.185","122","0","48"
"*05jq2*","Andrew Abbott","CIN","SP","172","FA","","70.33","98%","0%","171","11","3.84","1.257","150","0","30"
"*02hj7*","Merrill Kelly","ARI","SP","175","FA","","70.04","91%","-1%","159","11","3.85","1.239","143","0","28"
