,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Jazz Chisholm Jr.,,28,NYY,3B,2B,$13,$13,$14,$14,22,-0.7,4.0,.316,27,20,123,30,,,,,,,
,,,Ian Happ,,31,CHC,OF,,$13,$13,$6,$6,150,0.7,4.0,.344,22,31,131,8,,,,,,,
,,,Jakob Marsee,,24,MIA,OF,,$13,$13,$3,$3,140,0.6,3.9,.323,14,31,117,34,,,,,,,
,,,Jesús Luzardo,,28,PHI,SP,,$13,$13,$9,$9,68,1.8,3.8,12,0,190,3.66,1.17,,,,,,,
,,,Joe Ryan,Inj,29,MIN,SP,,$13,$13,$10,$10,63,1.8,3.7,11,0,178,3.80,1.10,,,,,,,
,,,Matt Chapman,,32,SF,3B,,$12,$12,$6,$6,135,-0.5,3.7,.332,23,29,126,8,,,,,,,
,,,Sonny Gray,,36,BOS,SP,,$12,$12,$7,$7,109,1.6,3.5,11,0,181,3.66,1.16,,,,,,,
,,,Randy Arozarena,,30,SEA,OF,,$12,$12,$9,$9,83,0.3,3.6,.312,22,28,132,24,,,,,,,
,,,Jackson Merrill,,22,SD,OF,,$12,$12,$11,$11,59,0.3,3.6,.325,22,35,125,6,,,,,,,
,,,Bo Bichette,,27,NYM,SS,,$12,$12,$11,$11,78,-0.1,3.5,.337,18,32,132,5,,,,,,,
,,,Seiya Suzuki,,31,CHC,OF,,$11,$11,$10,$10,81,0.2,3.4,.340,24,29,130,7,,,,,,,
,,,Cody Bellinger,,30,NYY,OF,,$11,$11,$11,$11,61,0.1,3.4,.332,24,27,137,11,,,,,,,
,,,Yandy Díaz,,34,TB,1B,,$11,$11,$9,$9,100,-0.6,3.3,.365,20,28,123,2,,,,,,,
,,,Spencer Torkelson,,26,DET,1B,,$11,$11,$5,$5,162,-0.6,3.3,.320,27,29,133,2,,,,,,,
,,,Alex Bregman,,31,CHC,3B,,$11,$11,$6,$6,92,-1.0,3.2,.340,21,29,125,2,,,,,,,
,,,Hunter Goodman,,26,COL,C,,$10,$10,$7,$7,84,-1.5,3.2,.305,28,31,119,2,,,,,,,
,,,Austin Riley,,28,ATL,3B,,$10,$10,$12,$12,51,-1.0,3.1,.319,26,30,126,3,,,,,,,
,,,Edwin Díaz,,31,LAD,RP,,$10,$10,$9,$9,52,-0.2,3.0,4,40,93,3.09,1.06,,,,,,,
,,,Tyler Soderstrom,,24,ATH,1B,OF,$10,$10,$7,$7,89,-1.4,3.1,.326,25,28,118,5,,,,,,,
,,,Nico Hoerner,,28,CHC,2B,,$10,$10,$7,$7,96,0.0,3.1,.332,8,31,126,26,,,,,,,
,,,Jeremy Peña,,28,HOU,SS,,$10,$10,$11,$11,80,-0.5,3.1,.325,18,30,123,18,,,,,,,
,,,Brice Turang,,26,MIL,2B,,$10,$10,$9,$9,57,-0.1,3.0,.331,14,28,125,27,,,,,,,
,,,Oneil Cruz,,27,PIT,OF,,$10,$10,$6,$6,93,-0.3,3.0,.335,21,24,112,29,,,,,,,
,,,Michael Busch,,28,CHC,1B,,$10,$10,$6,$6,97,-1.0,3.0,.329,26,28,125,3,,,,,,,
,,,Cade Smith,,26,CLE,RP,,$10,$10,$9,$9,82,-0.3,2.9,4,31,93,2.87,1.06,,,,,,,
,,,Michael Harris II,,24,ATL,OF,,$10,$10,$9,$9,91,-0.4,2.9,.306,21,32,122,18,,,,,,,
,,,Ceddanne Rafaela,,25,BOS,2B,OF,$10,$10,$6,$6,145,-0.7,2.9,.297,17,32,123,21,,,,,,,
,,,Ezequiel Tovar,,24,COL,SS,,$9,$9,$7,$7,200,-0.7,2.8,.303,20,37,117,8,,,,,,,
,,,Steven Kwan,,28,CLE,OF,,$9,$9,$7,$7,148,-0.5,2.8,.346,11,29,123,19,,,,,,,
,,,Shea Langeliers,,28,ATH,C,,$9,$9,$6,$6,69,-1.8,2.8,.315,29,26,119,5,,,,,,,
,,,Luis Arraez,,28,SF,2B,1B,$9,$9,$5,$5,244,-0.9,2.7,.373,6,30,119,8,,,,,,,
,,,Jose Altuve,,35,HOU,2B,OF,$9,$9,$8,$8,99,-0.9,2.7,.343,20,26,122,12,,,,,,,
,,,Lawrence Butler,,25,ATH,OF,,$9,$9,$6,$6,138,-0.5,2.7,.324,21,28,119,19,,,,,,,
,,,Eugenio Suárez,,34,CIN,3B,,$9,$9,$10,$10,90,-1.5,2.7,.304,34,24,133,3,,,,,,,
,,,Josh Hader,Inj,31,HOU,RP,,$9,$9,$6,$6,130,-0.6,2.6,4,34,87,3.03,1.03,,,,,,,
,,,Byron Buxton,,32,MIN,OF,,$9,$9,$11,$11,79,-0.6,2.6,.319,26,28,113,17,,,,,,,
,,,Daylen Lile,,23,WSN,OF,,$9,$9,$3,$3,205,-0.6,2.6,.331,11,36,112,14,,,,,,,
,,,Nick Pivetta,,33,SD,SP,,$9,$9,$7,$7,85,0.6,2.5,11,0,181,3.90,1.15,,,,,,,
,,,Agustín Ramírez,,24,MIA,C,,$8,$8,$1,$1,114,-2.1,2.5,.309,20,28,117,13,,,,,,,
,,,Ben Rice,,27,NYY,C,1B,$8,$8,$4,$4,75,-2.7,2.5,.330,25,25,113,4,,,,,,,
,,,Freddy Peralta,,29,NYM,SP,,$8,$8,$7,$7,55,0.4,2.4,11,0,186,3.80,1.19,,,,,,,
