,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Bryan Abreu,,28,HOU,RP,,$3,$3,$2,$2,277,-2.6,0.8,4,25,92,3.17,1.18,,,,,,,
,,,Carlos Rodón,Inj,33,NYY,SP,,$3,$3,$3,$3,170,-1.2,0.8,10,0,157,3.89,1.18,,,,,,,
,,,MacKenzie Gore,,27,TEX,SP,,$2,$2,$4,$4,147,-1.2,0.7,10,0,183,3.82,1.22,,,,,,,
,,,Heliot Ramos,,26,SF,OF,,$2,$2,$5,$5,190,-1.9,0.7,.325,22,27,124,6,,,,,,,
,,,Dansby Swanson,,32,CHC,SS,,$2,$2,$5,$5,149,-2.3,0.7,.313,19,26,122,15,,,,,,,
,,,Trevor Story,,33,BOS,SS,,$2,$2,$7,$7,104,-2.3,0.6,.295,20,27,116,22,,,,,,,
,,,Jeremiah Estrada,,27,SD,RP,,$2,$2,$1,$1,387,-2.8,0.6,4,21,98,3.40,1.14,,,,,,,
,,,Emmet Sheehan,,26,LAD,SP,,$2,$2,$5,$5,132,-1.3,0.6,10,0,133,3.74,1.15,,,,,,,
,,,Aaron Nola,,32,PHI,SP,,$2,$2,$3,$3,185,-1.3,0.6,10,0,165,4.05,1.17,,,,,,,
,,,Brandon Nimmo,,32,TEX,OF,,$2,$2,$6,$6,123,-2.0,0.6,.325,21,26,122,9,,,,,,,
,,,Garrett Whitlock,,29,BOS,RP,,$2,$2,$1,$1,429,-2.8,0.6,4,22,79,3.25,1.15,,,,,,,
,,,Will Smith,,30,LAD,C,,$2,$2,$2,$2,117,-4.2,0.5,.351,18,22,110,2,,,,,,,
,,,Corey Seager,,31,TEX,SS,,$2,$2,$8,$8,73,-2.5,0.5,.357,25,24,109,3,,,,,,,
,,,Colt Keith,,24,DET,3B,"1B,2B",$2,$2,$1,$1,298,-4.5,0.5,.335,16,24,106,3,,,,,,,
,,,Brandon Woodruff,Inj,33,MIL,SP,,$2,$2,$6,$6,103,-1.4,0.5,9,0,130,3.74,1.13,,,,,,,
,,,Christian Yelich,,34,MIL,OF,,$2,$2,$7,$7,111,-2.1,0.5,.339,19,22,121,15,,,,,,,
,,,Sal Stewart,,22,CIN,1B,,$2,$2,$2,$2,211,-3.9,0.4,.330,18,24,111,7,,,,,,,
,,,Garrett Cleavinger,,31,TB,RP,,$2,$2,$1,$1,407,-3.0,0.5,3,26,83,3.40,1.13,,,,,,,
,,,Blake Snell,Inj,33,LAD,SP,,$1,$1,$6,$6,86,-1.5,0.4,9,0,149,3.57,1.22,,,,,,,
,,,Ernie Clement,,29,TOR,3B,"1B,2B,SS",$1,$1,$1,$1,357,-4.6,0.4,.303,11,30,105,9,,,,,,,
,,,Kazuma Okamoto,,29,TOR,3B,,$1,$1,$2,$2,233,-4.2,0.4,.324,22,24,108,2,,,,,,,
