"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*025gb*","Xander Bogaerts","SD","SS","194","FA","","68.29","88%","-1%","540","144","30","14","20",".331","115","142"
"*05t2b*","Daylen Lile","WSH","OF","199","FA","","68.11","93%","0%","528","143","41","13","14",".323","113","141"
"*03d6s*","Matt Chapman","SF","3B","200","FA","NYY Wed 8:05PM","68.08","98%","0%","498","120","32","22","10",".337","125","137"
"*04p10*","Bryson Stott","PHI","2B","201","FA","","68.08","96%","0%","526","134","26","12","26",".326","118","147"
"*03oh0*","Willson Contreras","BOS","1B","202","FA","","68.02","96%","0%","494","130","32","23","6",".364","126","132"
"*05yo5*","Ben Rice","NYY","C,1B","203","FA","@SF Wed 8:05PM","68.01","100%","0%","491","125","32","29","3",".335","126","139"
"*04aq4*","Adolis Garcia","PHI","OF","204","FA","","67.7","92%","0%","523","120","27","25","14",".288","126","138"
"*047l7*","Luis Robert Jr.","NYM","OF","205","FA","","67.56","98%","0%","454","104","19","20","37",".299","101","123"
"*051b4*","Jordan Beck","COL","OF","206","FA","","67.49","83%","-2%","555","133","35","17","19",".309","92","149"
"*01u75*","Salvador Perez","KC","C,1B","208","FA","","67.43","98%","0%","553","143","29","29","0",".309","119","144"
"*03fi0*","Ozzie Albies","ATL","2B","219","FA","","66.94","99%","0%","556","139","29","18","12",".313","132","147"
"*05mdt*","Evan Carter","TEX","OF","221","FA","","66.92","91%","-1%","426","101","22","16","31",".346","109","119"
"*04qnd*","Noelvi Marte","CIN","3B,OF","224","FA","","66.34","98%","0%","535","135","28","16","18",".306","122","134"
"*0512e*","Spencer Steer","CIN","1B","225","FA","","66.26","87%","-3%","526","128","30","19","9",".328","129","149"
"*02mw6*","Corey Seager","TEX","SS","226","FA","","66.19","99%","0%","474","135","26","31","2",".372","125","122"
"*05ybv*","Jackson Holliday","BAL","2B","227","FA","","66.18","97%","-1%","556","138","25","17","16",".327","124","140"
"*04n8z*","Xavier Edwards","MIA","2B,SS","230","FA","","65.88","97%","0%","554","158","27","3","27",".350","113","139"
"*04aee*","Jo Adell","LAA","OF","231","FA","","65.87","98%","0%","536","123","21","34","7",".298","123","143"
"*0513l*","Brenton Doyle","COL","OF","234","FA","","65.69","86%","-2%","545","128","27","18","21",".287","104","141"
"*03m6o*","Yandy Diaz","TB","1B","235","FA","","65.5","97%","0%","571","161","34","19","2",".350","131","146"
"*0414g*","Luis Garcia Jr.","WSH","2B","239","FA","","64.72","82%","-3%","505","136","29","16","16",".310","116","139"
