,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Jeremy Peña,,28,HOU,SS,,$9,$9,$10,$10,80,-0.2,3.2,.325,18,30,123,18,,,,,,,
,,,Steven Kwan,,28,CLE,OF,,$9,$9,$6,$6,148,-0.2,3.2,.346,11,29,123,19,,,,,,,
,,,Austin Riley,,28,ATL,3B,,$9,$9,$11,$11,51,-0.7,3.1,.319,26,30,126,3,,,,,,,
,,,Lawrence Butler,,25,ATH,OF,,$9,$9,$6,$6,138,-0.2,3.1,.324,21,28,119,19,,,,,,,
,,,Michael Busch,,28,CHC,1B,,$9,$9,$5,$5,97,-0.7,3.1,.329,26,28,125,3,,,,,,,
,,,Byron Buxton,,32,MIN,OF,,$9,$9,$10,$10,79,-0.3,3.0,.319,26,28,113,17,,,,,,,
,,,Hunter Goodman,,26,COL,C,,$8,$8,$6,$6,84,-1.2,2.9,.305,28,31,119,2,,,,,,,
,,,Daylen Lile,,23,WSN,OF,,$8,$8,$2,$2,205,-0.4,2.9,.331,11,36,112,14,,,,,,,
,,,Edwin Díaz,,31,LAD,RP,,$8,$8,$8,$8,52,1.3,4.0,4,40,93,3.09,1.06,,,,,,,
,,,Bryson Stott,,28,PHI,2B,SS,$8,$8,$4,$4,202,-1.1,2.9,.333,13,27,113,23,,,,,,,
,,,Ezequiel Tovar,,24,COL,SS,,$8,$8,$7,$7,200,-0.5,2.9,.303,20,37,117,8,,,,,,,
,,,Nick Pivetta,,33,SD,SP,,$8,$8,$6,$6,85,1.8,3.9,11,0,181,3.90,1.15,,,,,,,
,,,Tyler Soderstrom,,24,ATH,OF,1B,$8,$8,$7,$7,89,-1.1,2.8,.326,25,28,118,5,,,,,,,
,,,Cade Smith,,26,CLE,RP,,$8,$8,$8,$8,82,1.1,3.8,4,31,93,2.87,1.06,,,,,,,
,,,Andy Pages,,25,LAD,OF,,$8,$8,$7,$7,127,-0.6,2.8,.309,24,30,124,10,,,,,,,
,,,Gleyber Torres,,29,DET,2B,,$8,$8,$5,$5,199,-0.7,2.8,.344,18,28,127,6,,,,,,,
,,,Freddy Peralta,,29,NYM,SP,,$8,$8,$6,$6,55,1.6,3.7,11,0,186,3.80,1.19,,,,,,,
,,,Teoscar Hernández,,33,LAD,OF,,$8,$8,$9,$9,108,-0.6,2.7,.323,26,28,128,6,,,,,,,
,,,Eugenio Suárez,,34,CIN,3B,,$8,$8,$9,$9,90,-1.2,2.7,.304,34,24,133,3,,,,,,,
,,,Taylor Ward,,32,BAL,OF,,$8,$8,$7,$7,137,-0.7,2.7,.331,26,27,126,4,,,,,,,
,,,Josh Hader,Inj,31,HOU,RP,,$7,$7,$5,$5,130,0.8,3.5,4,34,87,3.03,1.03,,,,,,,
,,,Luis Castillo,,33,SEA,SP,,$7,$7,$5,$5,129,1.4,3.5,11,0,165,3.82,1.17,,,,,,,
,,,George Springer,,36,TOR,OF,,$7,$7,$10,$10,77,-0.7,2.6,.335,23,24,124,13,,,,,,,
,,,Shea Langeliers,,28,ATH,C,,$7,$7,$6,$6,69,-1.5,2.6,.315,29,26,119,5,,,,,,,
,,,Jung Hoo Lee,,27,SF,OF,,$7,$7,$2,$2,273,-0.8,2.5,.338,9,38,107,9,,,,,,,
,,,Ranger Suárez,,30,BOS,SP,,$7,$7,$5,$5,139,1.2,3.3,11,0,150,3.57,1.22,,,,,,,
,,,Kevin Gausman,,35,TOR,SP,,$7,$7,$5,$5,94,1.1,3.2,11,0,176,3.92,1.19,,,,,,,
,,,Agustín Ramírez,,24,MIA,C,,$7,$7,$1,$1,114,-1.8,2.3,.309,20,28,117,13,,,,,,,
,,,Jhoan Duran,,28,PHI,RP,,$6,$6,$7,$7,66,0.4,3.1,4,32,79,2.86,1.11,,,,,,,
,,,Bryan Reynolds,,31,PIT,OF,,$6,$6,$5,$5,160,-1.1,2.3,.331,19,30,122,5,,,,,,,
,,,Ben Rice,,27,NYY,C,1B,$6,$6,$3,$3,75,-2.3,2.3,.330,25,25,113,4,,,,,,,
,,,Masyn Winn,,23,STL,SS,,$6,$6,$3,$3,250,-1.1,2.2,.313,15,32,122,12,,,,,,,
,,,Xavier Edwards,,26,MIA,2B,SS,$6,$6,$3,$3,161,-1.8,2.2,.345,4,27,107,26,,,,,,,
,,,Tanner Bibee,,26,CLE,SP,,$6,$6,$4,$4,152,0.9,3.0,11,0,168,3.88,1.19,,,,,,,
,,,Shane McClanahan,Inj,28,TB,SP,,$6,$6,$4,$4,195,0.9,3.0,7,0,129,3.35,1.13,,,,,,,
,,,Abner Uribe,,25,MIL,RP,,$6,$6,$2,$2,245,0.2,2.9,4,36,86,3.02,1.17,,,,,,,
,,,Miguel Vargas,,26,CHW,3B,1B,$6,$6,$1,$1,274,-2.3,2.1,.324,16,30,110,7,,,,,,,
,,,Heliot Ramos,,26,SF,OF,,$6,$6,$5,$5,190,-1.3,2.0,.325,22,27,124,6,,,,,,,
,,,Tyler Glasnow,,32,LAD,SP,,$6,$6,$5,$5,95,0.5,2.6,9,0,148,3.65,1.16,,,,,,,
,,,Brandon Nimmo,,32,TEX,OF,,$5,$5,$6,$6,123,-1.4,1.9,.325,21,26,122,9,,,,,,,
,,,Devin Williams,,31,NYM,RP,,$5,$5,$6,$6,110,-0.1,2.6,4,33,85,3.03,1.13,,,,,,,
,,,Christian Yelich,,34,MIL,OF,,$5,$5,$7,$7,111,-1.5,1.9,.339,19,22,121,15,,,,,,,
,,,Griffin Jax,,31,TB,RP,,$5,$5,$3,$3,239,-0.2,2.5,4,20,92,2.99,1.06,,,,,,,
,,,Alec Bohm,,29,PHI,3B,1B,$5,$5,$3,$3,235,-2.5,1.9,.338,15,27,117,3,,,,,,,
,,,Andrés Muñoz,,27,SEA,RP,,$5,$5,$6,$6,67,-0.2,2.5,3,33,78,2.87,1.12,,,,,,,
,,,Ozzie Albies,,29,ATL,2B,,$5,$5,$4,$4,125,-1.7,1.8,.311,18,30,119,11,,,,,,,
