"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"122664","David Hamilton","[""2b"",""mi"",""u""]","MIL","-20.49","50","294","270","7","33","0.292","51","13","0","0","0","0","0","0"
"144150","Ryan Gusto","[""sp"",""rp"",""p""]","MIA","-20.52","50","0","0","0","0","0","0","0","54","3","46","4.18","1.27","3"
"106041","Tyler Gilbert","[""sp"",""rp"",""p""]","CHW","-20.55","50","0","0","0","0","0","0","0","50","3","45","4.23","1.31","7"
"111237","Eduarniel Núñez","[""rp"",""p""]","SAC","-20.56","50","0","0","0","0","0","0","0","24.3","1","29","4.53","1.39","4"
"134488","Daniel Robert","[""rp"",""p""]","","-20.59","50","0","0","0","0","0","0","0","11.7","2","12","3.92","1.23","2"
"119759","Hunter Feduccia","[""c"",""u""]","TB","-20.62","50","361","318","9","0","0.307","63","16","0","0","0","0","0","0"
"106667","Evan Phillips","[""rp"",""p""]","LAD","-20.66","50","0","0","0","0","0","0","0","17.7","1","17","3.8","1.19","3"
"140446","Ryan Watson","[""p""]","BOS","-20.66","50","0","0","0","0","0","0","0","48","3","45","4.42","1.31","7"
"105954","Tyler Ferguson","[""rp"",""p""]","SAC","-20.72","50","0","0","0","0","0","0","0","24.3","1","24","4.42","1.34","4"
"150547","Moisés Ballesteros","[""u""]","CHC","-20.79","50","382","351","12","1","0.319","79","19","0","0","0","0","0","0"
"105993","Ty France","[""1b"",""ci"",""u""]","","-20.79","50","407","369","10","1","0.318","75","19","0","0","0","0","0","0"
"151380","Sam Bachman","[""rp"",""p""]","LAA","-20.88","50","0","0","0","0","0","0","0","36.7","2","29","5.03","1.49","4"
"141201","Grant Wolfram","[""rp"",""p""]","BAL","-20.92","50","0","0","0","0","0","0","0","22","1","21","4.19","1.32","3"
"112382","Spencer Arrighetti","[""sp"",""p""]","HOU","-20.97","50","0","0","0","0","0","0","0","64.7","4","65","4.83","1.39","0"
"146199","Liam Hicks","[""c"",""1b"",""ci"",""u""]","MIA","-20.97","50","366","324","5","1","0.33","64","15","0","0","0","0","0","0"
"161632","Paul Gervase","[""rp"",""p""]","LAD","-20.98","50","0","0","0","0","0","0","0","17.7","1","21","4.22","1.29","3"
"151582","Jordan Wicks","[""rp"",""p""]","CHC","-21.02","50","0","0","0","0","0","0","0","22.3","1","20","4.36","1.3","3"
"148620","Nick Gonzales","[""2b"",""mi"",""u""]","PIT","-21.07","50","380","353","9","2","0.311","74","21","0","0","0","0","0","0"
"107254","Patrick Sandoval","[""sp"",""p""]","BOS","-21.07","50","0","0","0","0","0","0","0","64.3","3","60","4.52","1.39","4"
"145157","Josh White","[""p""]","MIA","-21.1","50","0","0","0","0","0","0","0","37.3","2","45","3.71","1.24","6"
"50106","Tommy Pham","[""of"",""u""]","","-21.28","50","407","366","11","4","0.316","77","18","0","0","0","0","0","0"
"122573","Justin Hagenman","[""rp"",""p""]","NYM","-21.32","50","0","0","0","0","0","0","0","17.3","1","16","4.3","1.21","2"
"103405","Danny Jansen","[""c"",""u""]","TEX","-21.35","50","332","291","11","0","0.309","61","14","0","0","0","0","0","0"
