"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"100007","Max Muncy","[""3b"",""ci"",""u""]","LAD","1.38","50","520","440","22","3","0.343","113","21","0","0","0","0","0","0"
"129452","Bryce Miller","[""sp"",""p""]","SEA","1.37","50","0","0","0","0","0","0","0","126.3","9","113","4","1.23","0"
"110207","Otto Lopez","[""ss"",""2b"",""mi"",""u""]","MIA","1.36","50","616","567","11","20","0.308","111","28","0","0","0","0","0","0"
"53014","Aroldis Chapman","[""rp"",""p""]","BOS","1.32","50","0","0","0","0","0","0","0","48","3","60","3.15","1.17","37"
"127835","Noelvi Marte","[""3b"",""ci"",""of"",""u""]","CIN","1.28","50","532","498","15","23","0.291","99","27","0","0","0","0","0","0"
"114833","Alec Burleson","[""1b"",""ci"",""of"",""u""]","STL","1.25","50","613","567","18","6","0.321","117","28","0","0","0","0","0","0"
"109295","Jo Adell","[""of"",""u""]","LAA","1.24","50","534","491","29","13","0.296","106","21","0","0","0","0","0","0"
"65879","Merrill Kelly","[""sp"",""p""]","AZ","1.23","50","0","0","0","0","0","0","0","138.3","8","120","3.97","1.23","0"
"108830","Shane Bieber","[""sp"",""p""]","TOR","1.2","50","0","0","0","0","0","0","0","115.7","8","107","3.77","1.19","0"
"155346","Cam Schlittler","[""sp"",""p""]","NYY","1.2","50","0","0","0","0","0","0","0","137.3","9","142","4.05","1.29","0"
"151723","Chase Burns","[""sp"",""rp"",""p""]","CIN","1.05","50","0","0","0","0","0","0","0","112.3","6","126","3.56","1.19","2"
"140256","Ryan Walker","[""rp"",""p""]","SF","1.02","50","0","0","0","0","0","0","0","54","3","51","3.68","1.2","40"
"147819","Nolan McLean","[""sp"",""p""]","NYM","1","50","0","0","0","0","0","0","0","150.3","10","150","4.22","1.33","0"
"103196","Dennis Santana","[""rp"",""p""]","PIT","1","50","0","0","0","0","0","0","0","60.7","4","56","3.89","1.22","35"
"65957","Gerrit Cole","[""sp"",""p""]","NYY","0.99","50","0","0","0","0","0","0","0","110.7","7","100","3.65","1.16","0"
"147807","Cade Horton","[""sp"",""p""]","CHC","0.98","50","0","0","0","0","0","0","0","120","8","111","3.73","1.22","0"
"113905","Alec Bohm","[""3b"",""ci"",""u""]","PHI","0.96","50","592","552","16","1","0.319","123","27","0","0","0","0","0","0"
"67568","Jorge Polanco","[""2b"",""mi"",""u""]","NYM","0.9","50","554","498","21","6","0.327","113","25","0","0","0","0","0","0"
"107284","Brandon Lowe","[""2b"",""mi"",""u""]","PIT","0.89","50","590","537","24","3","0.304","121","27","0","0","0","0","0","0"
"126483","Jack Leiter","[""sp"",""p""]","TEX","0.88","50","0","0","0","0","0","0","0","154.3","9","146","4.24","1.31","0"
"151281","Sal Frelick","[""of"",""u""]","MIL","0.87","50","591","541","10","11","0.326","110","27","0","0","0","0","0","0"
"160132","Nolan Schanuel","[""1b"",""ci"",""u""]","LAA","0.84","50","619","544","13","6","0.346","112","26","0","0","0","0","0","0"
"138910","Spencer Torkelson","[""1b"",""ci"",""u""]","DET","0.84","50","621","549","22","1","0.311","120","28","0","0","0","0","0","0"
"99953","Mike Yastrzemski","[""of"",""u""]","ATL","0.84","50","533","467","18","6","0.325","105","26","0","0","0","0","0","0"
"124659","Ryan Jeffers","[""c"",""u""]","MIN","0.84","50","526","471","16","1","0.322","103","25","0","0","0","0","0","0"
"70069","Seth Lugo","[""sp"",""p""]","KC","0.84","50","0","0","0","0","0","0","0","147.7","9","125","4.18","1.28","0"
"106129","Ryan Helsley","[""rp"",""p""]","BAL","0.84","50","0","0","0","0","0","0","0","55.3","3","59","3.55","1.21","37"
"47965","Kenley Jansen","[""rp"",""p""]","DET","0.82","50","0","0","0","0","0","0","0","54","3","53","3.69","1.15","34"
"150017","Edgar Quero","[""c"",""u""]","CHW","0.76","50","553","500","13","2","0.325","103","25","0","0","0","0","0","0"
"105894","Jhoan Duran","[""rp"",""p""]","PHI","0.73","50","0","0","0","0","0","0","0","51.7","3","58","3.88","1.28","42"
"105933","Pete Fairbanks","[""rp"",""p""]","MIA","0.72","50","0","0","0","0","0","0","0","56","3","54","3.44","1.18","32"
"108243","Mickey Moniak","[""of"",""u""]","COL","0.71","50","474","453","20","11","0.302","96","28","0","0","0","0","0","0"
"101008","Seranthony Domínguez","[""rp"",""p""]","CHW","0.7","50","0","0","0","0","0","0","0","62.7","3","75","3.68","1.24","30"
"148223","Eury Pérez","[""sp"",""p""]","MIA","0.69","50","0","0","0","0","0","0","0","116.3","6","121","3.71","1.19","0"
"70913","Luke Weaver","[""rp"",""p""]","NYM","0.69","50","0","0","0","0","0","0","0","58.7","4","64","3.48","1.15","21"
"103451","Jeff McNeil","[""2b"",""mi"",""of"",""u""]","SAC","0.61","50","535","485","13","4","0.341","110","29","0","0","0","0","0","0"
"100502","Carlos Correa","[""ss"",""3b"",""mi"",""ci"",""u""]","HOU","0.6","50","572","523","18","0","0.331","121","27","0","0","0","0","0","0"
"117074","Colton Cowser","[""of"",""u""]","BAL","0.52","50","567","509","19","11","0.303","102","27","0","0","0","0","0","0"
"111276","Garrett Whitlock","[""rp"",""p""]","BOS","0.44","50","0","0","0","0","0","0","0","53.3","3","60","3.26","1.14","25"
"70188","Carlos Estévez","[""rp"",""p""]","KC","0.39","50","0","0","0","0","0","0","0","56","3","44","3.86","1.2","36"
"100121","Christian Walker","[""1b"",""ci"",""u""]","HOU","0.39","50","560","513","27","1","0.307","121","25","0","0","0","0","0","0"
"106454","Trevor Megill","[""rp"",""p""]","MIL","0.38","50","0","0","0","0","0","0","0","57.3","3","65","3.66","1.2","28"
"101074","Luis Severino","[""sp"",""p""]","SAC","0.36","50","0","0","0","0","0","0","0","160.3","9","116","4.38","1.28","0"
"70775","Josh Bell","[""1b"",""ci"",""u""]","MIN","0.26","50","605","543","19","0","0.329","120","26","0","0","0","0","0","0"
"106414","Phil Maton","[""rp"",""p""]","CHC","0.23","50","0","0","0","0","0","0","0","56","3","65","3.84","1.21","29"
"109417","Shane Baz","[""sp"",""p""]","BAL","0.22","50","0","0","0","0","0","0","0","134.7","8","131","4.17","1.28","0"
"109868","Robert Garcia","[""rp"",""p""]","TEX","0.22","50","0","0","0","0","0","0","0","57.3","3","59","3.68","1.23","31"
"132232","Jeremy Peña","[""ss"",""mi"",""u""]","HOU","0.18","50","536","499","14","14","0.318","108","26","0","0","0","0","0","0"
"144613","Justin Sterner","[""rp"",""p""]","SAC","0.15","50","0","0","0","0","0","0","0","61.3","3","62","4.02","1.19","26"
