Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Huascar Brazobán ","NYM","RP",999,52,-2.7761132983679233,-1.117839330339432,-2.5048469806233737,-3.3246239258677424,-0.7701632631346258,-10.493586798333098,5.227574389444771,-4.266012408888327,"Huascar Brazoban","6107",623211
"J.T. Ginn ","ATH","SP",746.8300170898438,76.4178,-1.5688876869793895,-1.819881023580051,-2.7519917195506,-2.4173067354535163,-2.083717015543628,-10.641784181107186,5.374425610555225,-4.267358570551962,"J.T. Ginn","27889",669372
"Grant Anderson ","MIL","RP",999,56,-2.746224995186433,-1.9342164554852859,-2.3489909166303953,-3.101378321939968,-0.3651575405586348,-10.495968229800718,5.227574389444771,-4.268393840355947,"Grant Anderson","20546",681982
"Kevin Kelly ","TBR","RP",999,44,-3.0931956688638547,-0.7783825785127436,-0.8286889256602148,-3.8159704130277072,-2.079615357547144,-10.595852943611664,5.227574389444771,-4.368278554166893,"Kevin Kelly","25679",687330
"Adbert Alzolay ","NYM","RP",999,42,-3.0919318300847354,-0.8925712836706136,-0.843845703877642,-3.704081003585906,-2.068523524141761,-10.600953345360658,5.227574389444771,-4.373378955915886,"Adbert Alzolay","17859",640470
"Ryan Thompson ","ARI","RP",999,60,-2.563166482596099,-1.8999748023152798,-3.1573657220416025,-3.371158193500917,0.3793623332884484,-10.61230286716545,5.227574389444771,-4.384728477720678,"Ryan Thompson","16647",657044
"Greg Weissert ","BOS","RP",999,65,-2.4740699916609534,-2.93432522559453,-3.4762654338778556,-2.958942016109973,1.2107680671357965,-10.632834600107515,5.227574389444771,-4.405260210662745,"Greg Weissert","20375",669711
"Jackson Rutledge ","WSN","RP",999,59,-2.7332080131823493,-2.5730802300302003,-2.6363947969929917,-3.2256459837422455,0.5144476848318517,-10.653881339115935,5.227574389444771,-4.426306949671166,"Jackson Rutledge","26215",671131
"Jalen Beeks ","TEX","RP",999,54,-2.74843660005918,-1.3038521372833265,-2.4720865186798666,-3.2919088685399895,-0.8662539509904428,-10.682538075552808,5.227574389444771,-4.454963686108037,"Jalen Beeks","17192",656222
"Robert Gasser ","MIL","SP",999,80.0967,-1.66209146562882,-2.7330076791419162,-2.024666300974954,-2.32812502118612,-2.0870676773774566,-10.834958144309267,5.374425610555225,-4.460532533754043,"Robert Gasser","29812",688107
"Justin Bruihl ","STL","RP",999,54,-2.785149391601063,-1.1207300048026099,-2.9996513231253075,-3.510897662150469,-0.30134084105638276,-10.717769222735832,5.227574389444771,-4.490194833291063,"Justin Bruihl","23779",677865
"Merrill Kelly ","ARI","SP",266.92999267578125,172.667,2.1346185274778486,-5.8719103350371045,-6.404101743474882,1.4521723379944276,-2.20665146036781,-10.89587267340752,5.374425610555225,-4.521447062852296,"Merrill Kelly","11156",518876
